secucode,name,industry,quote_time,latest_date,price,pct,amount,turnover,volume_ratio,main_net,industry_avg_pct,industry_adv_ratio,industry_amount,close_pos,upper_shadow,samples,win_rate,avg_return,median_return,profit_factor,max_drawdown,worst_return,worst_sample_date,worst_hold_drawdown,stop_loss,stop_risk,target_low,target_high,reward_risk,buy_low,buy_high,formal,reject_reason,score,rechecked,recheck_price,recheck_time,recheck_reject_reason,risk_tier,action_tier,attack_mode_score,attack_mode_preferred,attack_mode_reason
688498.SH,源杰科技,半导体,,2026-07-06,1640.0,-0.0116,6950243525.0,3.47,0.91,31740736.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.6021395170072389,0.3978604829927611,120,0.7583333333333333,0.07278479957164748,0.0633046255856394,6.920173984999672,-0.18666821812543077,-0.1584008218622113,2025-09-30,-0.2124666012784524,1533.4,0.065,1743.8195859604484,1838.8150493053358,1.8650567477048394,1635.08,1644.9199999999998,False,,88.23740592591612,True,1640.0,,,进取,进取研究,29.65574801503213,False,attack_checks_failed
001309.SZ,德明利,半导体,,2026-07-06,935.0,0.0602,19558879509.96,13.14,1.17,511428352.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.796262872916445,0.203737127083555,120,0.5916666666666667,0.054658309860633886,0.034483675762646625,3.032990814109487,-0.35116541589386463,-0.17736623371691165,2025-11-19,-0.2036762751129847,874.225,0.065,967.2422368380745,1068.0620330396475,2.1894205354117258,932.195,937.805,False,,79.12445831765815,True,935.0,,,进取,进取研究,17.14191587156114,False,attack_checks_failed
688525.SH,佰维存储,半导体,,2026-07-06,454.7,0.0626,19635048356.0,9.32,1.21,814109952.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.6843187660668376,0.31568123393316244,120,0.625,0.051508151729914735,0.03541230098887523,3.0670459856746786,-0.40478454148745924,-0.21728369934344574,2025-11-17,-0.24684929439287595,425.1445,0.065,470.8019732596415,504.3439715347721,1.6796864047223747,453.3359,456.06409999999994,False,,77.23369273351744,True,454.7,,,进取,进取研究,6.836878211411573,False,attack_checks_failed
300604.SZ,长川科技,半导体,,2026-07-06,304.0,0.0043,7952964501.6,5.37,0.77,109004096.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.595916631220757,0.40408336877924306,120,0.5666666666666667,0.038446841227342106,0.024020257927032187,2.8669944728808168,-0.30152145788894646,-0.18024312222670438,2026-05-25,-0.18059701492537317,284.24,0.065,311.30215840981776,331.5604596409055,1.3947601032846924,303.088,304.912,False,,53.49258270649143,True,304.0,,,进取,进取研究,8.529316088100558,False,attack_checks_failed
603608.SH,天创时尚,服装家纺,,2026-07-06,26.55,0.0219,1071634338.0,9.46,1.2,65919765.0,-0.009798333333333333,0.35,6515948658.91,0.5236486486486487,0.47635135135135126,120,0.6916666666666667,0.048631376421572475,0.0397606776745519,3.3387442739092776,-0.2212603753370771,-0.19614140815615191,2026-06-16,-0.21087486929243637,24.824250000000003,0.065,27.60564599225935,29.153556200850158,1.5086520068666727,26.47035,26.629649999999998,False,,53.37595566771041,True,26.55,,,进取,进取研究,12.968845183201783,False,attack_checks_failed
300223.SZ,北京君正,半导体,,2026-07-06,253.0,-0.0253,13477401164.24,12.72,0.95,-63934848.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.5357142857142857,0.4642857142857143,120,0.6166666666666667,0.02769366594911586,0.02982522296471587,2.0434912779104537,-0.42648781889389786,-0.17773923240938164,2025-11-17,-0.1952789699570815,236.555,0.065,260.5457814100731,272.69932613350636,1.197891525296831,252.24099999999999,253.759,False,,52.935763378462624,True,253.0,,,进取,进取研究,1.7221423245736323,False,attack_checks_failed
688172.SH,燕东微,半导体,,2026-07-06,76.4,0.08220000000000001,2183134635.0,2.47,1.1,82056217.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.7787144362486833,0.2212855637513167,120,0.675,0.04679694613820202,0.04373981493838693,2.878372374237233,-0.40961614589667716,-0.20265253054101232,2026-02-25,-0.22687609075043635,71.43400000000001,0.065,79.74172186129277,82.90606156153507,1.3101211360320313,76.1708,76.6292,False,,50.96077376736621,True,76.4,,,进取,进取研究,6.235320024708412,False,attack_checks_failed
688141.SH,杰华特,半导体,,2026-07-06,168.26,0.0786,3059249418.0,4.15,1.26,401584256.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.8241486068111453,0.17585139318885465,120,0.5833333333333334,0.04100739739153866,0.0255965742762719,2.6194646565311928,-0.4203806982480758,-0.1447458398744114,2026-03-16,-0.1658703071672355,157.3231,0.065,172.56687958772548,185.0757354268014,1.5375230117127727,167.75521999999998,168.76477999999997,False,,47.63884829735608,True,168.26,,,进取,进取研究,12.035391326783136,False,attack_checks_failed
300567.SZ,精测电子,通用设备,,2026-07-06,266.57,0.01,2532882386.31,4.22,0.76,32183312.0,-0.022262272727272728,0.23636363636363636,116487098257.19,0.5378821444395211,0.46211785556047896,120,0.5916666666666667,0.04812455530981532,0.021905814868859532,3.012376640449627,-0.3488055177142143,-0.1542093369418133,2025-10-13,-0.15869110591708702,249.24295,0.065,272.4094330695919,292.56739844235835,1.500393802889607,265.77029,267.36970999999994,False,,47.191215778825566,False,0.0,,,进取,进取研究,13.146338403510214,False,attack_checks_failed
688362.SH,甬矽电子,半导体,,2026-07-06,95.93,0.0659,4709822844.0,11.08,1.15,-178225664.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.590659340659341,0.409340659340659,120,0.6166666666666667,0.03967082011403699,0.023174961259277507,2.666187044936618,-0.43058782464488277,-0.166576329509906,2025-10-09,-0.21980839292942922,89.69455,0.065,98.1531740336025,103.1313874433777,1.1549106228704749,95.64221,96.21779,False,,46.60365924609229,False,0.0,,,进取,进取研究,4.285297153424582,False,attack_checks_failed
