secucode,name,tradable,status,reject_reason,rank_score,latest_date,latest_close,benchmark_code,ma60,ma120,ma200,distance_ma200,stock_return_120d,benchmark_return_120d,excess_return_120d,stock_return_240d,benchmark_return_240d,excess_return_240d,drawdown_120d,volatility_120d,buy_zone_low,buy_zone_high,initial_stop_loss,trend_stop_price,relative_exit_excess,position_hint,tags
603259.SH,药明康德,True,ok,,97.321905,2026-07-06,122.97,000300.SH,104.7709,100.09011666666667,98.63062,0.24677306094192653,0.38073904402600456,0.0458018894413319,0.33493715458467266,0.795942807904076,0.2109692505846017,0.5849735573194743,-0.0478513356562138,0.3857191507567444,119.2809,126.6591,108.2136,95.67170139999999,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
002458.SZ,益生股份,True,ok,,96.902974,2026-07-06,9.45,000300.SH,8.315466666666667,7.811274999999999,7.385205,0.2795853331085596,0.4587835751775238,0.0458018894413319,0.4129816857361919,0.5178284612913586,0.2109692505846017,0.3068592107067569,-0.03963414634146345,0.3739018634303654,9.1665,9.7335,8.315999999999999,7.1636488499999995,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
002832.SZ,比音勒芬,True,ok,,96.590301,2026-07-06,20.92,000300.SH,19.333000000000002,17.287166666666668,16.43,0.27328058429701785,0.46704067321178133,0.0458018894413319,0.42123878377044943,0.41638456330399465,0.2109692505846017,0.20541531271939295,-0.06188340807174886,0.35805693482101353,20.2924,21.547600000000003,18.4096,15.9371,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
603995.SH,甬金股份,True,ok,,94.913229,2026-07-06,23.58,000300.SH,19.732333333333333,18.9685,18.3086,0.28791933845296747,0.341296928327645,0.0458018894413319,0.2954950388863131,0.37252619324796266,0.2109692505846017,0.16155694266336096,-0.06798418972332021,0.41270611001509855,22.8726,24.287399999999998,20.7504,17.759341999999997,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
603990.SH,麦迪科技,True,ok,,93.019816,2026-07-06,23.0,000300.SH,18.46333333333333,16.79575,16.24055,0.4162081949195071,0.5161502966381015,0.0458018894413319,0.4703484071967696,0.42679900744416854,0.2109692505846017,0.21582975685956685,-0.029126213592233108,0.39253571349744604,22.31,23.69,20.24,15.753333499999998,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
002293.SZ,罗莱生活,True,ok,,91.666962,2026-07-06,11.24,000300.SH,10.1945,9.914333333333333,9.43875,0.19083565090716448,0.14111675126903567,0.0458018894413319,0.09531486182770377,0.37745098039215685,0.2109692505846017,0.16648172980755516,-0.010563380281690127,0.33926171708953223,10.9028,11.577200000000001,9.8912,9.155587500000001,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
002972.SZ,科安达,True,ok,,90.613472,2026-07-06,18.95,000300.SH,14.015583333333332,13.083541666666667,12.714525000000002,0.49042138813679603,0.6057961189729684,0.0458018894413319,0.5599942295316365,0.5869692655556484,0.2109692505846017,0.37600001497104674,-0.05107661492238358,0.3970240536657024,18.3815,19.5185,16.676,12.333089250000002,-0.06,0.3,"long_term_hold,strong_relative,shallow_drawdown"
603558.SH,健盛集团,True,ok,,76.081055,2026-07-06,12.1,000300.SH,12.353733333333334,12.1652,11.56757,0.04602781742405715,0.11070313934275733,0.0458018894413319,0.06490124990142543,0.38475623712520024,0.2109692505846017,0.17378698654059854,-0.20935703084161006,0.4075121909544955,11.737,12.463,11.2205429,11.2205429,-0.06,0.3,long_term_hold
301046.SZ,能辉科技,False,ok,ma120_not_above_ma200; volatility_120d 61.29% > 42.00%,88.13214,2026-07-06,29.86,000300.SH,26.7135,26.227833333333333,26.47475,0.12786711866967582,0.2760683760683762,0.0458018894413319,0.2302664866270443,0.4580078125,0.2109692505846017,0.2470385619153983,-0.04600638977635785,0.6128692755173595,28.964199999999998,30.7558,26.276799999999998,25.6805075,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
002468.SZ,申通快递,False,ok,ma120_not_above_ma200; volatility_120d 42.69% > 42.00%,87.421559,2026-07-06,17.08,000300.SH,15.306333333333333,14.430833333333334,14.882249999999999,0.1476759226595441,0.28228228228228214,0.0458018894413319,0.23648039284095024,0.5684113865932046,0.2109692505846017,0.35744213600860286,-0.0500556173526141,0.42693124681973216,16.5676,17.592399999999998,15.030399999999998,14.435782499999998,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688173.SH,希荻微,False,ok,volatility_120d 48.40% > 42.00%,85.982951,2026-07-06,18.66,000300.SH,16.782,16.189416666666666,15.8795,0.1750999716615762,0.26938775510204094,0.0458018894413319,0.22358586566070904,0.3883928571428572,0.2109692505846017,0.1774236065582555,-0.06839740389415883,0.4840389702249109,18.1002,19.2198,16.4208,15.403115,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
000938.SZ,紫光股份,False,ok,volatility_120d 51.59% > 42.00%,85.669406,2026-07-06,33.31,000300.SH,29.046333333333333,27.247666666666664,27.05745,0.2310842300364595,0.35765233340126357,0.0458018894413319,0.31185044395993167,0.3824444905582072,0.2109692505846017,0.17147523997360548,-0.03238925199709497,0.5158977191170723,32.310700000000004,34.3093,29.312800000000003,26.2457265,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
002861.SZ,瀛通通讯,False,ok,ma60_not_above_ma120; ma120_not_above_ma200; volatility_120d 43.71% > 42.00%,85.403149,2026-07-06,21.96,000300.SH,18.185333333333332,18.344083333333334,18.6209,0.1793200113850566,0.23440134907251275,0.0458018894413319,0.18859945963118085,0.45623342175066317,0.2109692505846017,0.24526417116606147,-0.07341772151898729,0.4371273612285126,21.3012,22.6188,19.3248,18.062272999999998,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
002266.SZ,浙富控股,False,ok,volatility_120d 44.87% > 42.00%,85.343828,2026-07-06,5.29,000300.SH,4.95155,4.778108333333334,4.5179149999999995,0.17089409605979755,0.2899292855401121,0.0458018894413319,0.2441273960987802,0.7004178720668595,0.2109692505846017,0.48944862148225776,-0.08965754603338494,0.44873251005671155,5.1312999999999995,5.4487000000000005,4.6552,4.382377549999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
002860.SZ,星帅尔,False,ok,ma60_not_above_ma120; ma120_not_above_ma200; volatility_120d 44.83% > 42.00%,85.316747,2026-07-06,17.56,000300.SH,13.510933333333332,13.517050000000001,13.67693,0.28391386078600966,0.2541065562062561,0.0458018894413319,0.2083046667649242,0.4079538165490699,0.2109692505846017,0.19698456596446823,0.0,0.44831343664308104,17.033199999999997,18.0868,15.452799999999998,13.2666221,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
300199.SZ,翰宇药业,False,ok,ma120_not_above_ma200; volatility_120d 54.71% > 42.00%,85.189644,2026-07-06,25.8,000300.SH,22.267833333333332,20.528666666666666,20.59725,0.25259439973782927,0.4413407821229052,0.0458018894413319,0.3955388926815733,0.39913232104121477,0.2109692505846017,0.18816307045661307,-0.028614457831325213,0.5470860591288487,25.026,26.574,22.704,19.979332499999998,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
600222.SH,太龙药业,False,ok,volatility_120d 45.82% > 42.00%,85.09076,2026-07-06,8.07,000300.SH,7.5395,7.243399999999999,7.09769,0.1369896402914188,0.22887163088168117,0.0458018894413319,0.18306974144034927,0.414052917469774,0.2280737351499964,0.18597918231977761,-0.10828729281767957,0.45815678082539,7.8279,8.312100000000001,7.1016,6.8847593,-0.06,0.0,"long_term_hold,strong_relative"
301356.SZ,天振股份,False,ok,volatility_120d 51.67% > 42.00%,84.90503,2026-07-06,26.94,000300.SH,23.833833333333335,23.231083333333334,22.910149999999998,0.17589801900031232,0.2825517733872889,0.0458018894413319,0.23674988394595697,0.5046076514939961,0.2109692505846017,0.2936384009093944,-0.0979407332998492,0.5166588929299636,26.131800000000002,27.7482,23.7072,22.2228455,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688653.SH,康希通信,False,ok,volatility_120d 45.56% > 42.00%,84.874905,2026-07-06,16.88,000300.SH,14.890666666666666,14.240833333333335,13.64105,0.2374413993057718,0.3893004115226337,0.0458018894413319,0.3434985220813018,0.39504132231404965,0.2109692505846017,0.18407207172944795,-0.04954954954954971,0.45561399920502565,16.3736,17.3864,14.8544,13.2318185,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
300596.SZ,利安隆,False,ok,ma60_not_above_ma120; volatility_120d 54.22% > 42.00%,84.564148,2026-07-06,51.89,000300.SH,44.55416666666667,45.07449999999999,42.60635,0.21789357689640165,0.2425766283524904,0.0458018894413319,0.1967747389111585,0.8264695529743049,0.2109692505846017,0.6155003023897032,-0.0738889880421203,0.5421886808555485,50.3333,53.4467,45.6632,41.3281595,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688175.SH,高凌信息,False,ok,volatility_120d 55.16% > 42.00%,84.487258,2026-07-06,28.95,000300.SH,26.836299999999998,26.129399999999997,23.015565000000002,0.2578444196351468,0.31131947275445015,0.05723294060106365,0.2540865321533865,0.8439490445859874,0.24025686278025526,0.6036921818057321,-0.044081228330856925,0.5515645323960656,28.0815,29.8185,25.476,22.32509805,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
603301.SH,振德医疗,False,ok,volatility_120d 45.34% > 42.00%,84.423363,2026-07-06,88.0,000300.SH,88.1645,85.12941666666667,77.44685,0.13626312755134662,0.2535612535612535,0.0458018894413319,0.20775936411992157,3.263565891472868,0.2109692505846017,3.0525966408882663,-0.14313534566699126,0.45336741138781445,85.36,90.64,77.44,75.12344449999999,-0.06,0.0,"long_term_hold,strong_relative"
000301.SZ,东方盛虹,False,ok,volatility_120d 45.87% > 42.00%,84.304656,2026-07-06,13.81,000300.SH,12.240666666666666,12.026083333333332,11.10435,0.24365676514158863,0.26813590449954083,0.0458018894413319,0.22233401505820893,0.620892018779343,0.2109692505846017,0.40992276819474127,-0.06054421768707474,0.4587444878752052,13.3957,14.224300000000001,12.152800000000001,10.771219499999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688131.SH,皓元医药,False,ok,ma120_not_above_ma200; volatility_120d 51.49% > 42.00%,84.264549,2026-07-06,92.27,000300.SH,77.84666666666666,75.09241666666667,75.35555000000001,0.2244619009482378,0.2801054384017758,0.0458018894413319,0.23430354896044392,0.7482000757862826,0.2109692505846017,0.5372308252016809,-0.0770231069320797,0.514893439421722,89.50189999999999,95.0381,81.1976,73.09488350000001,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
001287.SZ,中电港,False,ok,volatility_120d 58.49% > 42.00%,84.251598,2026-07-06,31.47,000300.SH,27.76643333333333,25.854133333333333,24.65553,0.27638708233000875,0.396060686718126,0.0458018894413319,0.3502587972767941,0.716670303294785,0.2109692505846017,0.5057010527101833,-0.03584558823529416,0.5849197316062449,30.525899999999996,32.4141,27.6936,23.915864099999997,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
