budget,sell_mode,date,source_type,code,name,entry_price,one_lot_cost,action,lots,capital_used,exit_or_observe_date,status,return_pct,pnl,pnl_type,skip_reason,note
30000,固定5日卖,2026-06-01,proxy_fill,688396.SH,华润微,65.549,6554.9,买入,4,26219.6,2026-06-08,closed,-4.74%,-1242.0854800000002,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,30318.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,31378.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,24400.0,买入,1,24400.0,2026-06-11,closed,-9.41%,-2296.7200000000016,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,3759.0,买入,7,26313.0,2026-06-12,closed,10.51%,2765.7931,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,42825.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,30493.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,61800.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,14200.0,买入,2,28400.0,2026-06-18,closed,32.66%,9275.079999999998,realized,,真实保存14:50窗口建议
30000,固定5日卖,2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,8023.0,买入,3,24069.0,2026-06-22,closed,34.89%,8398.710299999995,realized,,真实保存14:50窗口建议
30000,固定5日卖,2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,31710.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,固定5日卖,2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,10736.0,买入,2,21472.0,2026-06-23,closed,8.88%,1907.6863999999985,realized,,真实保存14:50窗口建议
30000,固定5日卖,2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,33528.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,固定5日卖,2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,35706.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,固定5日卖,2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,39010.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,固定5日卖,2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,21057.0,买入,1,21057.0,2026-06-30,closed,29.05%,6117.625899999999,realized,,真实保存14:50窗口建议
30000,固定5日卖,2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,20020.0,买入,1,20020.0,2026-07-01,closed,-14.03%,-2808.026,realized,,真实保存14:50窗口建议
30000,固定5日卖,2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,133275.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,固定5日卖,2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,77000.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
