budget,mode,signal_date,code,name,entry_price,one_lot_cost,report_time,report_dir,action,skip_reason,lots,capital_used,status,exit_date,return,pnl,realized_pnl,floating_pnl
30000,fixed5,2026-06-11,688308.SH,欧科亿,142.0,14200.0,2026-06-11T15:00:59+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,buy,,2,28400.0,closed,2026-06-18,0.3265873239436619,9275.08,9275.08,0
30000,fixed5,2026-06-12,000657.SZ,中钨高新,80.23,8023.0,2026-06-12T14:53:50+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,buy,,3,24069.0,closed,2026-06-22,0.3489430512277201,8398.71,8398.71,0
30000,fixed5,2026-06-15,688146.SH,中船特气,317.1,31710.0,2026-06-15T14:53:26+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-16,600487.SH,亨通光电,107.36,10736.0,2026-06-16T14:52:45+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,buy,,2,21472.0,closed,2026-06-23,0.0888453055141579,1907.69,1907.69,0
30000,fixed5,2026-06-17,688146.SH,XD中船特,335.28,33528.0,2026-06-17T14:50:52+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-18,688146.SH,中船特气,357.06,35706.0,2026-06-18T14:50:27+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-22,688146.SH,中船特气,390.1,39010.0,2026-06-22T14:51:39+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-23,603929.SH,亚翔集成,210.57,21057.0,2026-06-23T14:51:30+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,buy,,1,21057.0,closed,2026-06-30,0.2905269459087239,6117.63,6117.63,0
30000,fixed5,2026-06-24,301319.SZ,唯特偶,200.2,20020.0,2026-06-24T14:52:43+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,buy,,1,20020.0,closed,2026-07-01,-0.14026103896103895,-2808.03,-2808.03,0
30000,fixed5,2026-06-25,300308.SZ,中际旭创,1332.75,133275.0,2026-06-25T14:50:20+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-26,603986.SH,兆易创新,770.0,77000.0,2026-06-26T14:51:53+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,fixed5,2026-06-30,688002.SH,睿创微纳,154.67,15467.0,2026-06-30T14:51:56+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,buy,,1,15467.0,open_unmatured,2026-07-01,-0.037958692700588305,-587.11,0,-587.11
30000,ma5,2026-06-11,688308.SH,欧科亿,142.0,14200.0,2026-06-11T15:00:59+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,buy,,2,28400.0,closed,2026-06-23,0.2682774647887323,7619.08,7619.08,0
30000,ma5,2026-06-12,000657.SZ,中钨高新,80.23,8023.0,2026-06-12T14:53:50+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,buy,,3,24069.0,closed,2026-06-26,0.23900911130499822,5752.71,5752.71,0
30000,ma5,2026-06-15,688146.SH,中船特气,317.1,31710.0,2026-06-15T14:53:26+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,ma5,2026-06-16,600487.SH,亨通光电,107.36,10736.0,2026-06-16T14:52:45+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,buy,,2,21472.0,closed,2026-06-26,0.028301341281669137,607.69,607.69,0
30000,ma5,2026-06-17,688146.SH,XD中船特,335.28,33528.0,2026-06-17T14:50:52+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
30000,ma5,2026-06-18,688146.SH,中船特气,357.06,35706.0,2026-06-18T14:50:27+08:00,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,skip,one_lot_cost_gt_budget,0,0,skipped,,,0,0,0
