scope,signal_date,report_dir,report_time,in_1450_window,time_offset_min,rank,source_tier,secucode,name,entry_price,win_rate,avg_return,profit_factor,reward_risk,fixed5_status,fixed5_sell_date,fixed5_eval_date,fixed5_return,ma5_status,ma5_exit_date,ma5_held_sessions,ma5_return,ma5_reason,fixed5_eval_return
strict_1450_saved,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,1,formal,688308.SH,欧科亿,142.0,0.7666666666666667,0.07315102163871107,6.381347303802894,2.04072919423269,closed,2026-06-18,2026-06-18,0.3265873239436619,closed,2026-06-23,7,0.2682774647887323,close_below_ma5,
strict_1450_saved,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,2,formal,000636.SZ,风华高科,64.3,0.65,0.05444074341907536,4.55779021274229,1.2414033111836953,closed,2026-06-18,2026-06-18,0.1588866251944013,closed,2026-06-23,7,0.09061290824261267,close_below_ma5,
strict_1450_saved,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,3,formal,301526.SZ,国际复材,26.45,0.6666666666666666,0.06875212061406238,4.589398149583639,1.8237747819191121,closed,2026-06-18,2026-06-18,0.54463572778828,closed,2026-06-23,7,0.444824763705104,close_below_ma5,
strict_1450_saved,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,1,formal,000657.SZ,中钨高新,80.23,0.6333333333333333,0.056529138344746314,3.379760522622108,1.9626068951237183,closed,2026-06-19,2026-06-22,0.3489430512277201,closed,2026-06-26,9,0.23900911130499822,close_below_ma5,
strict_1450_saved,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,2,formal,300342.SZ,天银机电,53.29,0.6666666666666666,0.07596192390538488,5.169627901430848,2.295981413403063,closed,2026-06-19,2026-06-22,-0.18895246762994936,closed,2026-06-22,5,-0.18895246762994936,day5_net_return_not_positive,
strict_1450_saved,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,3,formal,301377.SZ,鼎泰高科,471.01,0.7,0.06099560826973448,4.628375001057054,1.1187591452072927,closed,2026-06-19,2026-06-22,0.39909489607439347,closed,2026-06-23,6,0.2725583044945968,close_below_ma5,
strict_1450_saved,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,1,formal,688146.SH,中船特气,317.1,0.7666666666666667,0.13743656272270297,10.68892977265856,2.725409429280398,closed,2026-06-22,2026-06-22,0.22856439608956167,closed,2026-06-30,7,0.10242122358877323,close_below_ma5,
strict_1450_saved,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,2,formal,301319.SZ,唯特偶,145.83,0.6666666666666666,0.1033432574874828,6.329900569034723,2.820610205155179,closed,2026-06-22,2026-06-22,0.2741577247479941,closed,2026-06-29,9,0.21251060138517439,close_below_ma5,
strict_1450_saved,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,3,formal,600487.SH,亨通光电,99.23,0.6666666666666666,0.04611557915412425,3.5712103417261805,1.245057117674508,closed,2026-06-22,2026-06-22,0.20658068124559112,closed,2026-06-26,8,0.11265747253854683,close_below_ma5,
strict_1450_saved,2026-06-16,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,2026-06-16T14:52:45+08:00,True,2.75,1,formal,600487.SH,亨通光电,107.36,0.7333333333333333,0.06526872230524901,4.636645314970605,1.8850926500136418,closed,2026-06-23,2026-06-23,0.0888453055141579,closed,2026-06-26,7,0.028301341281669137,close_below_ma5,
strict_1450_saved,2026-06-16,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,2026-06-16T14:52:45+08:00,True,2.75,2,formal,600183.SH,生益科技,179.82,0.6833333333333333,0.05384489866770979,4.121508258101993,1.317304040006744,closed,2026-06-23,2026-06-23,-0.06775534423312193,closed,2026-06-24,5,-0.01531401401401392,day5_net_return_not_positive,
strict_1450_saved,2026-06-16,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260616_145245,2026-06-16T14:52:45+08:00,True,2.75,3,formal,002491.SZ,通鼎互联,26.02,0.65,0.06829472902443814,5.1506886593026335,1.3937815874429467,closed,2026-06-23,2026-06-23,0.2930889315910837,closed,2026-06-29,8,0.2746415833973868,close_below_ma5,
strict_1450_saved,2026-06-17,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,2026-06-17T14:50:52+08:00,True,0.87,1,formal,688146.SH,XD中船特,335.28,0.7333333333333333,0.1299272304698124,8.896218381695169,2.7289564698867013,closed,2026-06-24,2026-06-26,0.1487835122882369,closed,2026-06-30,5,0.04257377714149387,close_below_ma5,
strict_1450_saved,2026-06-17,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,2026-06-17T14:50:52+08:00,True,0.87,2,formal,301319.SZ,唯特偶,163.87,0.75,0.11635692707845496,9.202219473685151,2.64370185069372,closed,2026-06-24,2026-06-24,0.22223084762311593,closed,2026-06-29,7,0.07888551290657228,close_below_ma5,
strict_1450_saved,2026-06-17,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260617_145052,2026-06-17T14:50:52+08:00,True,0.87,3,formal,600487.SH,亨通光电,110.14,0.7333333333333333,0.05782944630768045,3.9525802759223425,1.524640098856965,closed,2026-06-24,2026-06-24,0.07685507535863442,closed,2026-06-26,6,0.002313582712910901,close_below_ma5,
strict_1450_saved,2026-06-18,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,2026-06-18T14:50:27+08:00,True,0.45,1,formal,688146.SH,中船特气,357.06,0.7333333333333333,0.12294456177708338,9.870949805813307,2.505438920229872,closed,2026-06-25,2026-06-26,0.07863054388618171,open_ma5_hold,2026-07-01,5,0.05905400212849384,profit_above_ma5,
strict_1450_saved,2026-06-18,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,2026-06-18T14:50:27+08:00,True,0.45,2,formal,301319.SZ,唯特偶,170.25,0.7166666666666667,0.10574816863720765,7.39358061665513,2.64370185069372,closed,2026-06-25,2026-06-25,0.18918458149779735,closed,2026-06-29,6,0.03840631424375903,close_below_ma5,
strict_1450_saved,2026-06-18,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260618_145027,2026-06-18T14:50:27+08:00,True,0.45,3,formal,603986.SH,兆易创新,632.3,0.6,0.025771533303694583,1.9956365436394268,1.0093902867919546,closed,2026-06-25,2026-06-25,0.22471613158310952,closed,2026-07-01,8,0.2196552427645105,close_below_ma5,
strict_1450_saved,2026-06-22,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,2026-06-22T14:51:39+08:00,True,1.65,1,formal,688146.SH,中船特气,390.1,0.7666666666666667,0.15001413788468865,11.778941301871692,3.1224452889529535,closed,2026-06-29,2026-06-29,-0.0528252499359139,open_unmatured,2026-07-01,4,-0.030753986157395583,before_day5_check,
strict_1450_saved,2026-06-22,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,2026-06-22T14:51:39+08:00,True,1.65,2,formal,301319.SZ,唯特偶,183.59,0.7166666666666667,0.09958551565970881,7.020983917044341,2.2222486857633315,closed,2026-06-29,2026-06-29,-0.03714073206601679,closed,2026-06-29,5,-0.03714073206601679,day5_net_return_not_positive,
strict_1450_saved,2026-06-22,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260622_145139,2026-06-22T14:51:39+08:00,True,1.65,3,formal,300308.SZ,中际旭创,1380.57,0.55,0.03880822019463306,2.608594697835867,1.6092810579934664,closed,2026-06-29,2026-06-29,-0.11760703260247576,closed,2026-06-29,5,-0.11760703260247576,day5_net_return_not_positive,
strict_1450_saved,2026-06-23,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,2026-06-23T14:51:30+08:00,True,1.5,1,formal,603929.SH,亚翔集成,210.57,0.6416666666666667,0.061960554878963243,3.830370707849361,1.582516947522096,closed,2026-06-30,2026-06-30,0.2905269459087239,closed,2026-07-01,6,0.2230434487343876,close_below_ma5,
strict_1450_saved,2026-06-23,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,2026-06-23T14:51:30+08:00,True,1.5,2,formal,301013.SZ,利和兴,70.96,0.5583333333333333,0.058142086701733285,3.411574767770304,1.3613847267866113,closed,2026-06-30,2026-06-30,0.01687925591882763,closed,2026-06-30,5,0.01687925591882763,close_below_ma5,
strict_1450_saved,2026-06-23,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260623_145130,2026-06-23T14:51:30+08:00,True,1.5,3,formal,300302.SZ,同有科技,55.24,0.6583333333333333,0.04868822874391248,2.9365727615123403,1.1801083968874602,closed,2026-06-30,2026-06-30,-0.07497849384503988,closed,2026-06-30,5,-0.07497849384503988,day5_net_return_not_positive,
strict_1450_saved,2026-06-24,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,2026-06-24T14:52:43+08:00,True,2.72,1,formal,301319.SZ,唯特偶,200.2,0.6333333333333333,0.08369186638149163,5.053289915276404,2.2157614472059692,closed,2026-07-01,2026-07-01,-0.14026103896103895,closed,2026-07-01,5,-0.14026103896103895,day5_net_return_not_positive,
strict_1450_saved,2026-06-24,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,2026-06-24T14:52:43+08:00,True,2.72,2,formal,603115.SH,海星股份,118.73,0.6666666666666666,0.0662679403439183,5.943162311697865,1.3211017505183313,closed,2026-07-01,2026-07-01,-0.005848134422639682,closed,2026-07-01,5,-0.005848134422639682,day5_net_return_not_positive,
strict_1450_saved,2026-06-24,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,2026-06-24T14:52:43+08:00,True,2.72,3,formal,603186.SH,华正新材,249.55,0.6666666666666666,0.06855505735943039,4.568819683987584,1.7606127847393327,closed,2026-07-01,2026-07-01,-0.14812428371067923,closed,2026-07-01,5,-0.14812428371067923,day5_net_return_not_positive,
strict_1450_saved,2026-06-25,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,2026-06-25T14:50:20+08:00,True,0.33,1,formal,300308.SZ,中际旭创,1332.75,0.5833333333333334,0.038413618814352346,2.8782832993847487,1.4997870674224956,open_unmatured,2026-07-02,2026-07-01,,open_unmatured,2026-07-01,4,-0.08352097167510777,before_day5_check,-0.08352097167510777
strict_1450_saved,2026-06-25,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,2026-06-25T14:50:20+08:00,True,0.33,2,formal,688525.SH,佰维存储,482.0,0.625,0.048472667568524086,3.1578085656224437,1.446048135516511,open_unmatured,2026-07-02,2026-07-01,,open_unmatured,2026-07-01,4,-0.040573858921161866,before_day5_check,-0.040573858921161866
strict_1450_saved,2026-06-25,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,2026-06-25T14:50:20+08:00,True,0.33,3,formal,301308.SZ,江波龙,677.07,0.6,0.06344176472663071,3.188858664086945,2.081271452347609,open_unmatured,2026-07-02,2026-07-01,,open_unmatured,2026-07-01,4,-0.01493226845082488,before_day5_check,-0.01493226845082488
strict_1450_saved,2026-06-26,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,2026-06-26T14:51:53+08:00,True,1.88,1,formal,603986.SH,兆易创新,770.0,0.6833333333333333,0.04548788951662641,3.2081584682957476,1.5830920704782074,open_unmatured,2026-07-03,2026-07-01,,open_unmatured,2026-07-01,3,0.0013103896103895075,before_day5_check,0.0013103896103895075
strict_1450_saved,2026-06-26,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,2026-06-26T14:51:53+08:00,True,1.88,2,formal,001309.SZ,德明利,960.98,0.5916666666666667,0.06132194588295876,3.2989942334126967,2.424519872613306,open_unmatured,2026-07-03,2026-07-01,,open_unmatured,2026-07-01,3,-0.07181135299381883,before_day5_check,-0.07181135299381883
strict_1450_saved,2026-06-26,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,2026-06-26T14:51:53+08:00,True,1.88,3,formal,600176.SH,中国巨石,74.31,0.6833333333333333,0.05184062384503842,4.0945398211140835,1.2681659940483463,open_unmatured,2026-07-03,2026-07-01,,open_unmatured,2026-07-01,3,-0.05566684160947392,before_day5_check,-0.05566684160947392
strict_1450_saved,2026-06-30,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,2026-06-30T14:51:56+08:00,True,1.93,1,formal,688002.SH,睿创微纳,154.67,0.6083333333333333,0.02498691763651963,2.3266854645175967,1.5385646743379684,open_unmatured,2026-07-07,2026-07-01,,open_unmatured,2026-07-01,1,-0.037958692700588305,before_day5_check,-0.037958692700588305
strict_1450_saved,2026-06-30,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,2026-06-30T14:51:56+08:00,True,1.93,2,aggressive,603986.SH,兆易创新,816.28,0.6583333333333333,0.04828806785097641,3.4454290429017176,1.5744056308110213,open_unmatured,2026-07-07,2026-07-01,,open_unmatured,2026-07-01,1,-0.0555338413289557,before_day5_check,-0.0555338413289557
strict_1450_saved,2026-06-30,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,2026-06-30T14:51:56+08:00,True,1.93,3,aggressive,300308.SZ,中际旭创,1272.72,0.5833333333333334,0.0383607265149076,3.0066313519894994,1.5294981236751752,open_unmatured,2026-07-07,2026-07-01,,open_unmatured,2026-07-01,1,-0.04023236532780187,before_day5_check,-0.04023236532780187
all_saved_nearest,2026-06-10,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260610_185605,2026-06-10T18:57:11,False,247.18,1,formal,603256.SH,宏和科技,197.85,0.6,,2.921753600440598,2.4644,closed,2026-06-17,2026-06-17,0.3072670962850644,closed,2026-06-23,8,0.25166942127874653,close_below_ma5,
all_saved_nearest,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,1,formal,688308.SH,欧科亿,142.0,0.7666666666666667,0.07315102163871107,6.381347303802894,2.04072919423269,closed,2026-06-18,2026-06-18,0.3265873239436619,closed,2026-06-23,7,0.2682774647887323,close_below_ma5,
all_saved_nearest,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,2,formal,000636.SZ,风华高科,64.3,0.65,0.05444074341907536,4.55779021274229,1.2414033111836953,closed,2026-06-18,2026-06-18,0.1588866251944013,closed,2026-06-23,7,0.09061290824261267,close_below_ma5,
all_saved_nearest,2026-06-11,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260611_150059,2026-06-11T15:00:59+08:00,True,10.98,3,formal,301526.SZ,国际复材,26.45,0.6666666666666666,0.06875212061406238,4.589398149583639,1.8237747819191121,closed,2026-06-18,2026-06-18,0.54463572778828,closed,2026-06-23,7,0.444824763705104,close_below_ma5,
all_saved_nearest,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,1,formal,000657.SZ,中钨高新,80.23,0.6333333333333333,0.056529138344746314,3.379760522622108,1.9626068951237183,closed,2026-06-19,2026-06-22,0.3489430512277201,closed,2026-06-26,9,0.23900911130499822,close_below_ma5,
all_saved_nearest,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,2,formal,300342.SZ,天银机电,53.29,0.6666666666666666,0.07596192390538488,5.169627901430848,2.295981413403063,closed,2026-06-19,2026-06-22,-0.18895246762994936,closed,2026-06-22,5,-0.18895246762994936,day5_net_return_not_positive,
all_saved_nearest,2026-06-12,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260612_145350,2026-06-12T14:53:50+08:00,True,3.83,3,formal,301377.SZ,鼎泰高科,471.01,0.7,0.06099560826973448,4.628375001057054,1.1187591452072927,closed,2026-06-19,2026-06-22,0.39909489607439347,closed,2026-06-23,6,0.2725583044945968,close_below_ma5,
all_saved_nearest,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,1,formal,688146.SH,中船特气,317.1,0.7666666666666667,0.13743656272270297,10.68892977265856,2.725409429280398,closed,2026-06-22,2026-06-22,0.22856439608956167,closed,2026-06-30,7,0.10242122358877323,close_below_ma5,
all_saved_nearest,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,2,formal,301319.SZ,唯特偶,145.83,0.6666666666666666,0.1033432574874828,6.329900569034723,2.820610205155179,closed,2026-06-22,2026-06-22,0.2741577247479941,closed,2026-06-29,9,0.21251060138517439,close_below_ma5,
all_saved_nearest,2026-06-15,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260615_145326,2026-06-15T14:53:26+08:00,True,3.43,3,formal,600487.SH,亨通光电,99.23,0.6666666666666666,0.04611557915412425,3.5712103417261805,1.245057117674508,closed,2026-06-22,2026-06-22,0.20658068124559112,closed,2026-06-26,8,0.11265747253854683,close_below_ma5,
